fips_code,population_estimate_2020,population_estimate_2021,population_estimate_2022,population_estimate_2022
5121,18595.0,18839.0,18852.0,18907.0
5123,23021.0,22715.0,22402.0,22101.0
5125,123826.0,125382.0,127415.0,129574.0
5127,9834.0,9795.0,9796.0,9851.0
5129,7840.0,7893.0,7906.0,7806.0
5131,127808.0,128342.0,129109.0,129098.0
5133,15778.0,15714.0,15738.0,15632.0
5135,17314.0,17691.0,17836.0,17968.0
5137,12349.0,12441.0,12585.0,12671.0
5139,38931.0,38375.0,37813.0,37397.0
5141,15799.0,15777.0,16103.0,16142.0
5143,246774.0,251767.0,256682.0,261549.0
5145,76860.0,77109.0,77616.0,78452.0
5147,6224.0,6146.0,6057.0,5964.0
5149,20212.0,20135.0,20091.0,20044.0
6001,1680466.0,1644047.0,1628259.0,1622188.0
6003,1205.0,1229.0,1190.0,1141.0
6005,40525.0,41228.0,41493.0,41811.0
6007,210151.0,206336.0,207369.0,207172.0
6009,45348.0,46249.0,46556.0,46565.0
6011,21864.0,21919.0,21909.0,22037.0
6013,1166069.0,1163941.0,1157019.0,1155025.0
6015,27604.0,27584.0,27112.0,26589.0
6017,191245.0,193704.0,192787.0,192215.0
6019,1009552.0,1013103.0,1015359.0,1017162.0
6021,28904.0,28718.0,28360.0,28129.0
6023,136262.0,134897.0,134944.0,133985.0
6025,179612.0,179138.0,178940.0,179057.0
6027,18987.0,18924.0,18742.0,18527.0
6029,905910.0,912709.0,916751.0,913820.0
6031,152844.0,152775.0,152987.0,152682.0
6033,68199.0,68645.0,68172.0,67878.0
6035,32315.0,31885.0,30020.0,28861.0
6037,9992813.0,9809462.0,9719765.0,9663345.0
6039,156345.0,158966.0,160329.0,162858.0
6041,261306.0,259278.0,256154.0,254407.0
6043,17119.0,17127.0,17053.0,16919.0
6045,91367.0,91321.0,90007.0,89108.0
6047,281830.0,284610.0,290210.0,291920.0
6049,8681.0,8641.0,8619.0,8500.0
6051,13228.0,13271.0,13002.0,13066.0
6053,438322.0,437158.0,432884.0,430723.0
6055,137459.0,136265.0,134370.0,133216.0
6057,102265.0,103517.0,102401.0,102037.0
6059,3185734.0,3160611.0,3150372.0,3135755.0
6061,405927.0,413047.0,418074.0,423561.0
6063,19746.0,19958.0,19443.0,19131.0
6065,2422993.0,2453399.0,2474241.0,2492442.0
6067,1586566.0,1588810.0,1584380.0,1584288.0
6069,64530.0,66709.0,67643.0,68175.0
6071,2183391.0,2193087.0,2194908.0,2195611.0
6073,3295298.0,3274432.0,3277176.0,3269973.0
6075,870518.0,811935.0,807774.0,808988.0
6077,780617.0,788354.0,794293.0,800965.0
6079,281884.0,279464.0,282046.0,281639.0
6081,762479.0,739149.0,728929.0,726353.0
6083,448424.0,437521.0,443915.0,441257.0
6085,1931168.0,1885173.0,1878335.0,1877592.0
6087,270474.0,260475.0,264240.0,261547.0
6089,182002.0,182135.0,180937.0,180366.0
6091,3225.0,3294.0,3222.0,3200.0
6093,43995.0,44139.0,43786.0,42905.0
6095,452723.0,450653.0,448885.0,449218.0
6097,488282.0,484519.0,482669.0,481812.0
6099,553257.0,552723.0,551226.0,551430.0
6101,99479.0,99152.0,98569.0,97948.0
6103,65687.0,65446.0,65299.0,64896.0
6105,16091.0,16082.0,15778.0,15670.0
6107,473914.0,477176.0,477884.0,479468.0
6109,55379.0,55131.0,54587.0,54204.0
6111,843371.0,839471.0,832871.0,829590.0
6113,216291.0,213141.0,222018.0,220544.0
6115,81958.0,83227.0,84353.0,85722.0
8001,520500.0,523544.0,527509.0,533365.0
8003,16377.0,16579.0,16587.0,16655.0
8005,655272.0,656855.0,656269.0,656061.0
8007,13424.0,13806.0,13989.0,14189.0
8009,3480.0,3490.0,3435.0,3344.0
8011,5473.0,5339.0,5439.0,5681.0
8013,330938.0,327084.0,327339.0,326831.0
8014,74490.0,75411.0,76195.0,76860.0
8015,19484.0,19741.0,20265.0,20617.0
8017,1746.0,1719.0,1731.0,1727.0
8019,9393.0,9457.0,9367.0,9147.0
8021,7451.0,7582.0,7587.0,7521.0
8023,3502.0,3613.0,3615.0,3628.0
8025,5688.0,5735.0,5627.0,5636.0
8027,4723.0,5063.0,5337.0,5534.0
8029,31056.0,31392.0,31560.0,31746.0
8031,717606.0,711467.0,713453.0,716577.0
8033,2331.0,2375.0,2460.0,2513.0
8035,360323.0,369783.0,375937.0,383906.0
8037,55657.0,55774.0,55218.0,54381.0
8039,26216.0,27159.0,27842.0,28806.0
8041,732384.0,737287.0,740596.0,744215.0
8043,48878.0,49237.0,49616.0,50318.0
8045,61794.0,62107.0,62256.0,62707.0
8047,5820.0,5893.0,5886.0,5926.0
8049,15747.0,15851.0,15734.0,15935.0
8051,16950.0,17294.0,17320.0,17321.0
8053,788.0,773.0,771.0,765.0
8055,6827.0,6934.0,7097.0,7055.0
8057,1379.0,1359.0,1314.0,1309.0
8059,583081.0,580703.0,575811.0,576366.0
8061,1455.0,1454.0,1434.0,1384.0
8063,7062.0,6927.0,6983.0,6994.0
8065,7408.0,7395.0,7346.0,7365.0
8067,55673.0,56169.0,56553.0,56407.0
8069,359923.0,362747.0,367577.0,370771.0
8071,14490.0,14334.0,14311.0,14348.0
8073,5662.0,5473.0,5510.0,5480.0
8075,21210.0,21006.0,20792.0,20619.0
8077,156011.0,157439.0,158531.0,159681.0
8079,874.0,929.0,931.0,944.0
8081,13269.0,13165.0,13205.0,13327.0
8083,25887.0,26234.0,26467.0,26531.0
8085,42818.0,43236.0,43807.0,44156.0
8087,29076.0,29006.0,29266.0,29524.0
8089,18664.0,18527.0,18311.0,18136.0
8091,4882.0,5063.0,5103.0,5176.0
8093,17418.0,17744.0,17921.0,18117.0
8095,4527.0,4502.0,4448.0,4476.0
8097,17355.0,17337.0,16847.0,16640.0
8099,12017.0,11990.0,11873.0,11751.0
8101,168337.0,169316.0,169472.0,169422.0
8103,6520.0,6442.0,6549.0,6569.0
8105,11541.0,11406.0,11337.0,11188.0
8107,24832.0,25058.0,25072.0,25064.0
8109,6389.0,6511.0,6627.0,6688.0
8111,711.0,741.0,806.0,802.0
8113,8054.0,8080.0,8008.0,7868.0
8115,2389.0,2326.0,2286.0,2299.0
8117,31001.0,30998.0,30636.0,30465.0
8119,24744.0,24945.0,24860.0,24617.0
8121,4813.0,4868.0,4847.0,4855.0
8123,331458.0,339897.0,350266.0,359442.0
8125,9971.0,9925.0,9895.0,9862.0
9110,962436.0,970142.0,972068.0,975328.0
9120,324387.0,326752.0,327125.0,327651.0
9130,173268.0,175430.0,175982.0,176215.0
9140,449285.0,452281.0,453590.0,456128.0
9150,95222.0,95605.0,96148.0,96692.0
9160,112202.0,112953.0,113277.0,113463.0
9170,564076.0,568450.0,568402.0,568158.0
9180,278342.0,278820.0,279257.0,279634.0
9190,618368.0,623258.0,622857.0,623907.0
10001,182315.0,185043.0,187758.0,189789.0
10003,570918.0,572029.0,575254.0,578592.0
10005,238629.0,247809.0,256447.0,263509.0
11001,670839.0,669037.0,670949.0,678972.0
12001,279737.0,281889.0,284041.0,285994.0
12003,28116.0,28669.0,27786.0,28368.0
12005,174525.0,179520.0,185210.0,190769.0
12007,28222.0,28050.0,27296.0,27858.0
12009,608775.0,617900.0,630707.0,643979.0
12011,1943398.0,1935575.0,1946889.0,1962531.0
12013,13707.0,13518.0,13465.0,13470.0
12015,187995.0,194934.0,202582.0,206134.0
12017,154568.0,158167.0,162508.0,166696.0
12019,218951.0,222648.0,226634.0,232439.0
12021,377310.0,387226.0,397516.0,404310.0
12023,69740.0,69932.0,71870.0,73063.0
12027,34086.0,34333.0,35320.0,35979.0
12029,16687.0,16933.0,17120.0,17465.0
12031,997784.0,1002774.0,1017011.0,1030822.0
12033,322568.0,323459.0,323860.0,326928.0
12035,116028.0,120974.0,126758.0,131439.0
12037,12468.0,12183.0,12492.0,12594.0
12039,43411.0,43599.0,43393.0,43833.0
12041,17882.0,18316.0,19002.0,19587.0
12043,12078.0,12266.0,12463.0,12786.0
12045,14259.0,14462.0,15299.0,15693.0
12047,13729.0,13072.0,13194.0,13471.0
12049,25339.0,25322.0,25651.0,25760.0
12051,39723.0,40215.0,41391.0,43333.0
12053,195624.0,200693.0,206935.0,212807.0
12055,101349.0,103279.0,105649.0,107614.0
12057,1466255.0,1484607.0,1513473.0,1535564.0
12059,19578.0,19309.0,19653.0,19944.0
12061,160446.0,163869.0,167267.0,169795.0
12063,47096.0,47119.0,48255.0,48622.0
12065,14399.0,14494.0,15069.0,15450.0
12067,8218.0,7952.0,7777.0,8078.0
12069,386216.0,396352.0,410090.0,424462.0
12071,765547.0,790888.0,822391.0,834573.0
12073,293955.0,296007.0,297282.0,296913.0
12075,43059.0,44156.0,45253.0,46545.0
12077,7804.0,7290.0,7613.0,7706.0
12079,17869.0,18099.0,18230.0,18519.0
12081,401619.0,413716.0,429169.0,441095.0
12083,377472.0,385135.0,396437.0,409959.0
12085,158671.0,160197.0,161987.0,163315.0
12086,2695685.0,2669748.0,2673056.0,2686867.0
12087,82847.0,82220.0,81618.0,80614.0
12089,91031.0,94399.0,97826.0,101501.0
12091,212085.0,213641.0,216464.0,218464.0
12093,39652.0,40031.0,40373.0,41427.0
12095,1431679.0,1427761.0,1451761.0,1471416.0
12097,391141.0,403990.0,422543.0,437784.0
12099,1494282.0,1503435.0,1519867.0,1533801.0
12101,566156.0,585191.0,609141.0,632996.0
12103,959793.0,959583.0,961792.0,961596.0
12105,730158.0,755598.0,788382.0,818330.0
12107,73372.0,74095.0,74736.0,75955.0
12109,277099.0,293251.0,307072.0,320110.0
12111,331441.0,344246.0,358886.0,373586.0
12113,189011.0,193750.0,198199.0,203162.0
12115,436237.0,448636.0,462552.0,469013.0
12117,471455.0,470857.0,478623.0,484271.0
12119,130290.0,134870.0,144767.0,151565.0
12121,43524.0,44125.0,45405.0,46130.0
12123,21743.0,20807.0,21313.0,21582.0
12125,15425.0,15850.0,15514.0,15532.0
12127,555776.0,566368.0,579665.0,590357.0
12129,33893.0,34270.0,35169.0,36449.0
12131,75941.0,80021.0,83404.0,86354.0
12133,25320.0,24867.0,25405.0,25602.0
13001,18376.0,18423.0,18437.0,18457.0
13003,8308.0,8348.0,8160.0,8293.0
13005,11112.0,11068.0,11173.0,11124.0
13007,2852.0,2824.0,2792.0,2743.0
13009,43790.0,43695.0,43633.0,43396.0
13011,18081.0,18538.0,19342.0,19789.0
13013,83981.0,86727.0,89245.0,92792.0
13015,109314.0,110936.0,112815.0,115041.0
13017,17168.0,17128.0,17057.0,17128.0
13019,18144.0,18117.0,18215.0,18570.0
13021,157035.0,155980.0,156126.0,156512.0
13023,12523.0,12270.0,12279.0,12465.0
13025,18044.0,18119.0,18210.0,18401.0
13027,16272.0,16276.0,16284.0,16245.0
13029,45043.0,46974.0,48218.0,49739.0
13031,79922.0,80671.0,83038.0,84327.0
13033,24635.0,24362.0,24434.0,24438.0
13035,25549.0,26164.0,26745.0,26887.0
13037,5574.0,5541.0,5474.0,5457.0
13039,54931.0,55786.0,56971.0,58118.0
13043,11022.0,10947.0,10962.0,11059.0
13045,119498.0,121595.0,124530.0,127098.0
13047,68006.0,68436.0,68836.0,68910.0
13049,12534.0,12820.0,12788.0,12934.0
13051,295089.0,295690.0,301025.0,303655.0
13053,9475.0,9044.0,8746.0,8661.0
13055,24925.0,24844.0,24962.0,25222.0
13057,268156.0,274732.0,281194.0,286602.0
13059,128551.0,129206.0,129726.0,129933.0
13061,2828.0,2867.0,2853.0,2853.0
13063,299439.0,299210.0,298399.0,298300.0
13065,6720.0,6702.0,6679.0,6746.0
13067,766378.0,766662.0,771840.0,776743.0
13069,43060.0,43046.0,43247.0,43317.0
13071,45891.0,45763.0,45830.0,46167.0
13073,156865.0,159662.0,162471.0,165162.0
13075,17236.0,17262.0,17409.0,17714.0
13077,146747.0,149973.0,152879.0,155892.0
13079,12103.0,12139.0,12169.0,12277.0
13081,20053.0,20000.0,19729.0,19631.0
13083,16239.0,16221.0,16090.0,16165.0
13085,27059.0,28498.0,30189.0,31732.0
13087,29326.0,29091.0,29019.0,29087.0
13089,764489.0,759113.0,761779.0,762992.0
13091,19949.0,19734.0,19873.0,19776.0
13093,11156.0,10869.0,10585.0,10981.0
13095,85155.0,82235.0,82895.0,82645.0
13097,144648.0,145748.0,147453.0,149160.0
13099,10794.0,10635.0,10560.0,10563.0
13103,65169.0,66764.0,69034.0,71541.0
13105,19668.0,19571.0,19873.0,20013.0
13107,22893.0,22899.0,22946.0,23119.0
13109,10792.0,10697.0,10659.0,10754.0
13111,25436.0,25797.0,25733.0,25955.0
13113,119491.0,120715.0,121981.0,123351.0
13115,98583.0,98487.0,99437.0,100113.0
13117,252901.0,260783.0,267312.0,272887.0
13119,23471.0,23510.0,24146.0,24782.0
13121,1069394.0,1062451.0,1073698.0,1079105.0
13123,31427.0,32106.0,32403.0,32860.0
13125,2899.0,2901.0,2928.0,2954.0
13127,84482.0,84786.0,85145.0,86172.0
13129,57722.0,58239.0,58855.0,59757.0
13131,26224.0,25850.0,25994.0,26066.0
13133,19028.0,19544.0,20111.0,20722.0
13135,958359.0,965338.0,976173.0,983526.0
13137,46142.0,46748.0,47465.0,48757.0
13139,203473.0,207080.0,212621.0,217267.0
13141,8711.0,8677.0,8417.0,8676.0
13143,30036.0,30595.0,31355.0,32038.0
13145,34898.0,35589.0,36257.0,36654.0
13147,25878.0,26319.0,26886.0,27556.0
13149,11444.0,11532.0,11716.0,12034.0
13151,241852.0,245085.0,248472.0,254613.0
13153,164356.0,167228.0,169775.0,171974.0
13155,9647.0,9369.0,9114.0,9120.0
13157,76731.0,80374.0,84009.0,88615.0
13159,14662.0,15263.0,15979.0,16455.0
13161,14800.0,14860.0,14891.0,14906.0
13163,15676.0,15476.0,15294.0,15183.0
13165,8663.0,8764.0,8655.0,8627.0
13167,9183.0,8999.0,9211.0,9282.0
13169,28402.0,28406.0,28512.0,28969.0
13171,18549.0,18697.0,19473.0,20401.0
13173,9929.0,10051.0,10177.0,10452.0
13175,49535.0,49524.0,49710.0,49941.0
13177,33222.0,33209.0,33678.0,33872.0
13179,65317.0,66800.0,67919.0,69210.0
13181,7702.0,7749.0,7859.0,7879.0
13183,16270.0,17108.0,18395.0,19594.0
13185,118416.0,118916.0,119499.0,120712.0
13187,33641.0,32843.0,34706.0,35258.0
13189,21607.0,21619.0,21690.0,21799.0
13191,10985.0,11054.0,11183.0,11501.0
13193,12021.0,11852.0,11777.0,11817.0
13195,30276.0,30887.0,31450.0,32191.0
13197,7530.0,7434.0,7436.0,7440.0
13199,20617.0,20725.0,20890.0,20931.0
13201,5992.0,5853.0,5774.0,5747.0
13205,21671.0,21318.0,21192.0,21114.0
13207,28057.0,28753.0,29469.0,30625.0
13209,8576.0,8646.0,8643.0,8761.0
13211,20201.0,20650.0,21024.0,21460.0
13213,40012.0,39975.0,40410.0,41035.0
13215,207006.0,205060.0,202432.0,201877.0
13217,112890.0,115341.0,117752.0,120135.0
13219,42016.0,43034.0,43624.0,44182.0
13221,14869.0,15187.0,15531.0,15754.0
13223,169580.0,173989.0,178753.0,183164.0
13225,28036.0,28245.0,28486.0,28805.0
13227,33337.0,34021.0,34825.0,35969.0
13229,19747.0,19975.0,20190.0,20425.0
13231,18946.0,19540.0,19955.0,20461.0
13233,42924.0,43316.0,43669.0,44223.0
13235,9870.0,9570.0,9963.0,10095.0
13237,22170.0,22614.0,22933.0,23129.0
13241,16912.0,17120.0,17267.0,17442.0
13243,6368.0,6263.0,6126.0,6078.0
13245,206524.0,205274.0,206344.0,205414.0
13247,93611.0,93888.0,94945.0,95987.0
13249,4536.0,4486.0,4497.0,4526.0
13251,14077.0,14062.0,13970.0,14174.0
13253,9133.0,9162.0,9144.0,9092.0
13255,67471.0,67765.0,69008.0,69946.0
13257,26818.0,26765.0,26746.0,27228.0
13259,5303.0,4915.0,4604.0,4674.0
13261,29520.0,28981.0,28864.0,28890.0
13263,5726.0,5755.0,5757.0,5718.0
13265,1559.0,1569.0,1608.0,1609.0
13267,24321.0,24092.0,23988.0,24296.0
13269,7818.0,7769.0,7762.0,7758.0
13271,12465.0,12317.0,12378.0,10920.0
13273,9140.0,8924.0,8792.0,8718.0
13275,45775.0,45818.0,45551.0,45649.0
13277,41387.0,41082.0,41335.0,41554.0
13279,27078.0,26847.0,26813.0,27040.0
13281,12547.0,12880.0,12961.0,13035.0
13283,6397.0,6365.0,6359.0,6341.0
13285,69333.0,69518.0,70247.0,70742.0
13287,8986.0,8919.0,8836.0,8909.0
13289,8013.0,7881.0,7676.0,7691.0
13291,24802.0,25552.0,26390.0,27124.0
13293,27745.0,27689.0,28093.0,28263.0
13295,67738.0,68417.0,68965.0,69489.0
13297,97158.0,99814.0,103064.0,106702.0
13299,36229.0,35545.0,35597.0,36243.0
13301,5207.0,5208.0,5157.0,5106.0
13303,19952.0,19758.0,19765.0,19820.0
13305,30142.0,30220.0,30737.0,31373.0
13309,7449.0,7737.0,7310.0,7081.0
13311,28108.0,28389.0,28804.0,29026.0
13313,102784.0,102712.0,103095.0,103687.0
13315,8787.0,8737.0,8751.0,8779.0
13317,9552.0,9489.0,9565.0,9518.0
13319,8833.0,8786.0,8677.0,8725.0
13321,20732.0,20565.0,20431.0,20273.0
15001,200744.0,203875.0,206348.0,207615.0
15003,1012399.0,1004163.0,994828.0,989408.0
15007,73190.0,73829.0,73783.0,73851.0
15009,164768.0,164797.0,164359.0,164183.0
16001,498278.0,513025.0,519004.0,524673.0
16003,4428.0,4623.0,4791.0,4903.0
16005,87276.0,88515.0,89625.0,90400.0
16007,6367.0,6567.0,6730.0,6766.0
16009,9576.0,9895.0,10291.0,10369.0
16011,48097.0,48929.0,49973.0,50395.0
16013,24348.0,24782.0,24901.0,25041.0
16015,7664.0,8133.0,8360.0,8517.0
16017,47403.0,49633.0,51407.0,52547.0
16019,124737.0,128064.0,129543.0,131366.0
16021,12139.0,12620.0,13272.0,13557.0
16023,2584.0,2666.0,2698.0,2758.0
16025,1084.0,1137.0,1169.0,1232.0
16027,233013.0,243710.0,250892.0,257674.0
16029,7013.0,7109.0,7200.0,7219.0
16031,24760.0,25244.0,25644.0,25696.0
16033,792.0,793.0,810.0,801.0
16035,8750.0,8925.0,9035.0,9214.0
16037,4271.0,4446.0,4518.0,4523.0
16039,28669.0,28978.0,29391.0,29724.0
16041,14282.0,14670.0,15170.0,15494.0
16043,13419.0,13591.0,14017.0,14196.0
16045,19272.0,19802.0,20454.0,21071.0
16047,15649.0,15793.0,15879.0,16061.0
16049,16594.0,17059.0,17637.0,17890.0
16051,31080.0,32201.0,33336.0,34198.0
16053,24270.0,24738.0,25244.0,25479.0
16055,172785.0,180058.0,183290.0,185010.0
16057,39638.0,40400.0,40924.0,41301.0
16059,7962.0,8160.0,8284.0,8441.0
16061,3527.0,3690.0,3725.0,3739.0
16063,5134.0,5285.0,5385.0,5450.0
16065,52928.0,54092.0,54958.0,54547.0
16067,21668.0,21944.0,22208.0,22480.0
16069,42145.0,42500.0,42909.0,42987.0
16071,4566.0,4605.0,4740.0,4953.0
16073,11996.0,12356.0,12645.0,12722.0
16075,25590.0,26386.0,26929.0,27279.0
16077,7879.0,7975.0,8136.0,8253.0
16079,13199.0,13615.0,13935.0,14026.0
16081,11735.0,12273.0,12519.0,12549.0
16083,90372.0,92394.0,93821.0,95156.0
16085,11842.0,12256.0,12450.0,12644.0
16087,10558.0,10900.0,11147.0,11425.0
17001,65614.0,65064.0,64556.0,64441.0
17003,5169.0,5025.0,4841.0,4695.0
17005,16684.0,16623.0,16536.0,16450.0
17007,53343.0,53173.0,53068.0,53202.0
17009,6227.0,6432.0,6316.0,6294.0
17011,33191.0,32959.0,32827.0,32729.0
17013,4407.0,4395.0,4353.0,4317.0
