,city_id,city_name,fips_code
0,1840034016,New York,36081
1,1840020491,Los Angeles,6037
2,1840000494,Chicago,17031
3,1840015149,Miami,12086
4,1840020925,Houston,48201
5,1840019440,Dallas,48113
6,1840000673,Philadelphia,42101
7,1840013660,Atlanta,13121
8,1840006060,Washington,11001
9,1840000455,Boston,25025
10,1840020568,Phoenix,4013
11,1840003971,Detroit,26163
12,1840021117,Seattle,53033
13,1840021543,San Francisco,6075
14,1840021990,San Diego,6073
15,1840007830,Minneapolis,27053
16,1840015982,Tampa,12057
17,1840034030,Brooklyn,36047
18,1840018789,Denver,8031
19,1840034002,Queens,36081
20,1840020551,Riverside,6065
21,1840020364,Las Vegas,32003
22,1840001592,Baltimore,24510
23,1840001651,St. Louis,29510
24,1840019941,Portland,41051
25,1840022220,San Antonio,48029
26,1840021491,Sacramento,6067
27,1840019590,Austin,48453
28,1840015099,Orlando,12095
29,1630035577,San Juan,72127
30,1840021570,San Jose,6085
31,1840001254,Pittsburgh,42003
32,1840030084,Indianapolis,18097
33,1840034000,Manhattan,36061
34,1840003814,Cincinnati,39061
35,1840008535,Kansas City,29095
36,1840000596,Cleveland,39035
37,1840003760,Columbus,39049
38,1840033999,Bronx,36005
39,1840003871,Virginia Beach,51810
40,1840014557,Charlotte,37119
41,1840003046,Milwaukee,55079
42,1840003289,Providence,44007
43,1840015031,Jacksonville,12031
44,1840036155,Nashville,47037
45,1840021383,Salt Lake City,49035
46,1840014497,Raleigh,37183
47,1840001698,Richmond,51760
48,1840015457,Memphis,47157
49,1840020428,Oklahoma City,40109
50,1840004773,Hartford,9110
51,1840030815,Louisville,21111
52,1840000386,Buffalo,36029
53,1840001839,New Orleans,22071
54,1840020696,Fort Worth,48439
55,1840004836,Bridgeport,9120
56,1840022101,Tucson,4019
57,1840023252,El Paso,48141
58,1840009315,Omaha,31055
59,1840021024,McAllen,48215
60,1840006507,Birmingham,1073
61,1840019176,Albuquerque,35001
62,1840021672,Tulsa,40143
63,1840020319,Fresno,6019
64,1840015163,Charleston,45019
65,1840000373,Rochester,36055
66,1840034249,Dayton,39113
67,1840015130,Cape Coral,12071
68,1840020580,Mission Viejo,6059
69,1840018825,Colorado Springs,8041
70,1840013941,Baton Rouge,22033
71,1840001044,Allentown,42077
72,1840020135,Ogden,49057
73,1840020174,Provo,49049
74,1840014486,Knoxville,47093
75,1840002928,Grand Rapids,26081
76,1840014730,Columbia,45079
77,1840000417,Albany,36001
78,1840019148,Bakersfield,6029
79,1840004850,New Haven,9170
80,1840007069,Des Moines,19153
81,1840000791,Akron,39153
82,1840015094,Palm Bay,12009
83,1840018905,Concord,6013
84,1840001686,Wichita,20173
85,1840020566,Mesa,4013
86,1840001288,Harrisburg,42043
87,1840034032,Staten Island,36085
88,1840000572,Toledo,39095
89,1840000434,Worcester,25027
90,1840020490,Long Beach,6037
91,1840015119,Port St. Lucie,12111
92,1840015509,Little Rock,5119
93,1840020121,Reno,32031
94,1840021093,Spokane,53063
95,1840002915,Madison,55025
96,1840027142,Boise,16001
97,1840014227,Bonita Springs,12071
98,1840019390,Denton,48121
99,1840020296,Oakland,6001
100,1840000466,Springfield,25013
101,1840029462,Augusta,13245
102,1840015109,Kissimmee,12097
103,1840015324,Winston-Salem,37067
104,1840021517,Stockton,6077
105,1840000378,Syracuse,36067
106,1840014569,Chattanooga,47065
107,1840003718,Lancaster,42071
108,1840013501,Greenville,45045
109,1840013364,Durham,37063
110,1840015005,Pensacola,12033
111,1840013368,Fayetteville,5143
112,1840019422,Arlington,48439
113,1840018794,Aurora,8005
114,1840020474,Oxnard,6111
115,1840019304,Indio,6065
116,1840003389,Scranton,42069
117,1840021731,Victorville,6071
118,1840001383,Trenton,34021
119,1840020287,Modesto,6099
120,1840005061,Huntsville,1089
121,1840013305,Honolulu,15003
122,1840013356,Greensboro,37081
123,1840019322,Anaheim,6059
124,1840019718,Corpus Christi,48355
125,1840008261,Fort Wayne,18003
126,1840020151,Fort Collins,8069
127,1840014895,Jackson,28049
128,1840014717,Myrtle Beach,45051
129,1840013490,Fayetteville,37051
130,1840018903,Antioch,6013
131,1840003102,Lansing,26065
132,1840015211,Lexington,21067
133,1840006009,Mobile,1097
134,1840003563,Youngstown,39099
135,1840020361,Henderson,32003
136,1840015830,Savannah,13051
137,1840000500,Poughkeepsie,36027
138,1840021964,Santa Ana,6059
139,1840003172,Ann Arbor,26161
140,1840008940,St. Paul,27123
141,1840002791,Newark,34013
142,1840019325,Irvine,6059
143,1840021488,Santa Rosa,6097
144,1840000963,Canton,39151
145,1840013411,Asheville,37021
146,1840002949,Flint,26049
147,1840015970,Winter Haven,12105
148,1840023385,Anchorage,2020
149,1840009357,Lincoln,31109
150,1840014559,Concord,37025
151,1840003600,Jersey City,34017
152,1840009904,Springfield,29077
153,1840020662,Plano,48085
154,1840015768,Shreveport,22017
155,1840007081,Davenport,19163
156,1840020604,Lubbock,48303
157,1840015108,Lakeland,12105
158,1840009241,South Bend,18141
159,1840019350,Chula Vista,6073
160,1840019309,Chandler,4013
161,1840009132,Rockford,17201
162,1840001185,Reading,42011
163,1840020007,Eugene,41039
164,1840015576,Wilmington,37129
165,1840021864,Santa Clarita,6037
166,1840021947,Gilbert,4013
167,1840021224,Salem,41047
168,1840020854,Killeen,48027
169,1840011171,Round Lake Beach,17097
170,1840014887,Columbus,13215
171,1840020363,North Las Vegas,32003
172,1840018481,Kennewick,53005
173,1840015977,St. Petersburg,12103
174,1840015913,Tallahassee,12073
175,1840021002,Laredo,48479
176,1840019438,Irving,48113
177,1840009373,Peoria,17143
178,1840008353,Montgomery,1101
179,1840003874,Chesapeake,51550
180,1840020563,Glendale,4013
181,1840001472,York,42133
182,1840002984,Nashua,33011
